                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2955,                 1.6518,                 1.5111,                0.80394,                0.51424,                0.61406,                0.32261,                 2.2594,                 1.4325,                 1.4828,               0.008878,               0.008878,               0.008878
                     36,                 2.2957,                 1.6678,                 1.5253,                0.63606,                0.38963,                0.43129,                0.20662,                 2.5637,                 1.9284,                 1.5833,               0.008845,               0.008845,               0.008845
                     37,                 2.2858,                 1.6431,                  1.509,                0.67851,                 0.4873,                0.55347,                0.26371,                 2.4252,                 1.5819,                 1.5374,               0.008812,               0.008812,               0.008812
                     38,                 2.2753,                 1.6271,                 1.5027,                0.77423,                0.51127,                0.61048,                0.32148,                 2.2443,                 1.4043,                 1.4663,               0.008779,               0.008779,               0.008779
                     39,                 2.2745,                 1.6245,                 1.4995,                0.78761,                0.52163,                0.62286,                0.33032,                  2.212,                 1.3753,                  1.441,               0.008746,               0.008746,               0.008746
                     40,                 2.2649,                 1.6177,                 1.4981,                0.76561,                0.53678,                0.63147,                 0.3322,                 2.2057,                 1.3547,                 1.4409,               0.008713,               0.008713,               0.008713
                     41,                 2.2645,                 1.6037,                 1.4928,                 0.7695,                0.53114,                0.62681,                0.33237,                 2.1821,                 1.3581,                 1.4382,                0.00868,                0.00868,                0.00868
                     42,                 2.2455,                  1.588,                 1.4874,                0.75514,                0.52352,                  0.611,                0.31432,                 2.2777,                 1.4313,                 1.4806,               0.008647,               0.008647,               0.008647
                     43,                 2.2512,                 1.6041,                  1.488,                0.79028,                0.53687,                0.63376,                0.33074,                 2.2151,                 1.3501,                 1.4466,               0.008614,               0.008614,               0.008614
                     44,                 2.2445,                 1.5721,                 1.4819,                0.78732,                0.55049,                0.64743,                0.34415,                 2.1573,                 1.3216,                 1.4164,               0.008581,               0.008581,               0.008581
                     45,                 2.2367,                 1.5602,                  1.475,                0.79506,                0.54273,                0.63456,                0.32942,                 2.2007,                 1.3377,                 1.4221,               0.008548,               0.008548,               0.008548
                     46,                 2.2285,                 1.5689,                 1.4789,                0.77339,                0.53746,                0.63065,                0.33094,                 2.2096,                  1.357,                  1.435,               0.008515,               0.008515,               0.008515
                     47,                 2.2234,                 1.5596,                 1.4752,                0.78473,                0.54589,                0.64115,                0.34725,                 2.1434,                 1.3045,                  1.408,               0.008482,               0.008482,               0.008482
                     48,                 2.2087,                 1.5487,                 1.4639,                0.78966,                0.54918,                 0.6536,                0.35286,                 2.1227,                 1.2838,                 1.3978,               0.008449,               0.008449,               0.008449
                     49,                 2.2252,                 1.5417,                  1.473,                0.80312,                0.53861,                0.64705,                0.35062,                 2.1276,                 1.2818,                 1.3972,               0.008416,               0.008416,               0.008416
                     50,                  2.223,                  1.541,                  1.467,                0.78388,                0.55069,                0.65168,                0.34823,                  2.145,                 1.2961,                 1.4016,               0.008383,               0.008383,               0.008383
                     51,                  2.212,                   1.53,                 1.4598,                0.80733,                0.55012,                0.65018,                0.34964,                 2.1229,                 1.2832,                 1.3855,                0.00835,                0.00835,                0.00835
                     52,                 2.1986,                 1.5268,                 1.4627,                0.81144,                0.55376,                0.65965,                0.35568,                 2.1154,                 1.2691,                 1.3858,               0.008317,               0.008317,               0.008317
