                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                 1.9596,                 1.2633,                 1.3324,                0.82519,                0.62646,                0.73225,                0.41891,                 1.8982,                 1.0547,                  1.276,               0.005182,               0.005182,               0.005182
                    148,                 1.9578,                 1.2551,                 1.3303,                0.82368,                0.62753,                0.73252,                0.41883,                 1.8973,                 1.0543,                 1.2755,               0.005149,               0.005149,               0.005149
                    149,                 1.9841,                 1.2683,                   1.34,                0.82565,                0.62552,                0.73256,                 0.4189,                 1.8968,                 1.0538,                 1.2751,               0.005116,               0.005116,               0.005116
                    150,                 1.9714,                 1.2531,                 1.3323,                0.82396,                0.62796,                0.73295,                0.41925,                 1.8965,                 1.0526,                 1.2749,               0.005083,               0.005083,               0.005083
                    151,                 1.9601,                 1.2567,                 1.3314,                0.82537,                0.62767,                 0.7329,                0.41928,                 1.8971,                  1.052,                 1.2751,                0.00505,                0.00505,                0.00505
                    152,                 1.9641,                 1.2578,                 1.3272,                0.82528,                 0.6275,                0.73323,                0.41941,                 1.8966,                 1.0512,                 1.2748,               0.005017,               0.005017,               0.005017
                    153,                 1.9406,                 1.2575,                 1.3305,                0.82738,                0.62783,                0.73383,                0.41973,                 1.8959,                 1.0501,                 1.2745,               0.004984,               0.004984,               0.004984
                    154,                  1.945,                 1.2493,                 1.3272,                0.82484,                0.62855,                0.73364,                0.41946,                 1.8957,                 1.0499,                 1.2743,               0.004951,               0.004951,               0.004951
                    155,                 1.9421,                 1.2416,                 1.3247,                0.82515,                0.62952,                0.73442,                0.41983,                 1.8952,                 1.0484,                  1.274,               0.004918,               0.004918,               0.004918
                    156,                 1.9474,                 1.2525,                 1.3284,                0.82806,                0.62825,                0.73428,                0.41977,                 1.8943,                 1.0479,                 1.2735,               0.004885,               0.004885,               0.004885
                    157,                 1.9554,                 1.2474,                 1.3263,                0.82795,                0.62862,                0.73452,                0.42022,                 1.8946,                 1.0469,                 1.2734,               0.004852,               0.004852,               0.004852
                    158,                 1.9456,                 1.2362,                 1.3203,                0.82973,                 0.6282,                0.73515,                0.42043,                 1.8944,                 1.0461,                 1.2732,               0.004819,               0.004819,               0.004819
                    159,                 1.9648,                  1.258,                 1.3312,                0.83083,                0.62779,                0.73509,                0.42082,                 1.8946,                 1.0457,                 1.2733,               0.004786,               0.004786,               0.004786
                    160,                 1.9528,                 1.2496,                 1.3268,                0.83047,                0.62767,                 0.7357,                 0.4209,                 1.8947,                 1.0453,                 1.2731,               0.004753,               0.004753,               0.004753
                    161,                 1.9486,                  1.247,                 1.3254,                0.83039,                0.62935,                 0.7362,                0.42074,                 1.8942,                 1.0448,                 1.2728,                0.00472,                0.00472,                0.00472
                    162,                 1.9362,                 1.2357,                 1.3213,                0.83203,                0.62902,                0.73643,                 0.4209,                 1.8933,                 1.0443,                 1.2725,               0.004687,               0.004687,               0.004687
                    163,                 1.9498,                 1.2377,                 1.3235,                0.82962,                0.62922,                0.73693,                0.42104,                 1.8933,                 1.0437,                 1.2721,               0.004654,               0.004654,               0.004654
                    164,                 1.9435,                 1.2384,                 1.3248,                0.83108,                0.62847,                0.73726,                0.42108,                 1.8933,                 1.0433,                  1.272,               0.004621,               0.004621,               0.004621
                    165,                 1.9362,                 1.2299,                 1.3206,                0.83147,                0.63067,                0.73748,                 0.4214,                 1.8934,                 1.0427,                 1.2719,               0.004588,               0.004588,               0.004588
                    166,                 1.9521,                 1.2446,                 1.3295,                0.82966,                 0.6309,                0.73787,                  0.421,                 1.8934,                 1.0422,                 1.2716,               0.004555,               0.004555,               0.004555
                    167,                 1.9356,                 1.2295,                 1.3192,                   0.83,                0.63082,                0.73811,                0.42176,                 1.8929,                 1.0416,                 1.2713,               0.004522,               0.004522,               0.004522
                    168,                 1.9351,                 1.2267,                 1.3195,                0.83329,                0.62909,                0.73816,                0.42162,                 1.8932,                 1.0411,                 1.2713,               0.004489,               0.004489,               0.004489
                    169,                  1.943,                 1.2312,                 1.3206,                0.83344,                0.62892,                0.73806,                0.42161,                 1.8929,                  1.041,                 1.2712,               0.004456,               0.004456,               0.004456
                    170,                 1.9323,                  1.225,                 1.3136,                0.83446,                0.62917,                0.73784,                0.42182,                 1.8925,                 1.0407,                  1.271,               0.004423,               0.004423,               0.004423
                    171,                 1.9173,                 1.2167,                 1.3154,                0.83544,                0.62862,                0.73798,                 0.4214,                 1.8926,                 1.0403,                 1.2708,                0.00439,                0.00439,                0.00439
                    172,                 1.9364,                   1.23,                 1.3183,                0.83362,                0.63027,                0.73825,                0.42163,                 1.8921,                 1.0396,                 1.2704,               0.004357,               0.004357,               0.004357
                    173,                  1.937,                 1.2353,                 1.3188,                0.83241,                 0.6305,                0.73823,                0.42177,                 1.8927,                 1.0393,                 1.2703,               0.004324,               0.004324,               0.004324
                    174,                 1.9203,                 1.2268,                 1.3131,                0.83035,                0.63222,                0.73879,                0.42154,                 1.8933,                 1.0389,                 1.2705,               0.004291,               0.004291,               0.004291
                    175,                  1.932,                 1.2209,                 1.3156,                0.83217,                0.63185,                0.73916,                0.42201,                  1.893,                 1.0383,                 1.2702,               0.004258,               0.004258,               0.004258
                    176,                 1.9296,                 1.2137,                 1.3103,                0.83127,                0.63237,                 0.7391,                0.42232,                 1.8922,                 1.0377,                 1.2699,               0.004225,               0.004225,               0.004225
                    177,                 1.9235,                 1.2299,                 1.3137,                0.83505,                0.63059,                0.73974,                0.42319,                 1.8916,                  1.037,                 1.2698,               0.004192,               0.004192,               0.004192
                    178,                 1.9356,                 1.2246,                 1.3179,                0.83628,                0.63203,                0.74056,                0.42298,                 1.8912,                 1.0364,                 1.2695,               0.004159,               0.004159,               0.004159
                    179,                 1.9112,                 1.2094,                 1.3075,                0.83684,                0.63143,                0.73993,                0.42336,                  1.891,                 1.0361,                 1.2693,               0.004126,               0.004126,               0.004126
                    180,                 1.9242,                 1.2149,                 1.3108,                0.83541,                0.63292,                0.74052,                0.42352,                 1.8902,                 1.0355,                  1.269,               0.004093,               0.004093,               0.004093
                    181,                 1.9288,                 1.2145,                 1.3101,                0.83408,                0.63346,                0.74068,                0.42362,                 1.8896,                 1.0345,                 1.2687,                0.00406,                0.00406,                0.00406
                    182,                 1.9182,                  1.219,                 1.3086,                0.83356,                0.63417,                0.74171,                 0.4238,                 1.8883,                 1.0338,                 1.2683,               0.004027,               0.004027,               0.004027
                    183,                 1.9267,                 1.2145,                 1.3097,                0.83387,                0.63526,                0.74218,                  0.424,                 1.8882,                  1.033,                 1.2681,               0.003994,               0.003994,               0.003994
                    184,                 1.9097,                 1.2127,                 1.3069,                0.83505,                0.63476,                0.74192,                0.42412,                 1.8887,                 1.0325,                 1.2682,               0.003961,               0.003961,               0.003961
                    185,                 1.9164,                 1.2085,                 1.3087,                0.83628,                0.63452,                0.74261,                0.42454,                 1.8887,                 1.0315,                 1.2681,               0.003928,               0.003928,               0.003928
                    186,                 1.9126,                 1.2178,                 1.3075,                0.83739,                0.63379,                 0.7429,                0.42452,                 1.8877,                 1.0312,                 1.2678,               0.003895,               0.003895,               0.003895
                    187,                 1.9142,                 1.2102,                 1.3074,                  0.835,                0.63334,                0.74307,                0.42494,                 1.8866,                 1.0311,                 1.2675,               0.003862,               0.003862,               0.003862
                    188,                 1.9056,                 1.2077,                 1.3064,                0.83612,                0.63388,                0.74332,                0.42538,                 1.8863,                 1.0306,                 1.2673,               0.003829,               0.003829,               0.003829
                    189,                 1.9142,                 1.2078,                 1.3085,                0.83493,                0.63409,                0.74383,                0.42585,                 1.8859,                 1.0301,                 1.2673,               0.003796,               0.003796,               0.003796
                    190,                 1.8994,                 1.2051,                 1.3043,                0.83425,                0.63413,                0.74388,                0.42567,                 1.8859,                 1.0296,                 1.2673,               0.003763,               0.003763,               0.003763
                    191,                 1.9075,                 1.2004,                 1.3062,                0.83456,                0.63563,                  0.744,                0.42607,                  1.886,                 1.0289,                 1.2674,                0.00373,                0.00373,                0.00373
                    192,                 1.9124,                 1.2085,                  1.311,                0.83532,                0.63424,                0.74457,                0.42589,                 1.8864,                  1.029,                 1.2676,               0.003697,               0.003697,               0.003697
                    193,                 1.9125,                  1.207,                 1.3064,                0.83433,                0.63419,                0.74417,                0.42588,                 1.8866,                 1.0283,                 1.2677,               0.003664,               0.003664,               0.003664
                    194,                 1.9014,                 1.1943,                 1.3017,                0.83028,                0.63706,                0.74446,                0.42603,                 1.8869,                 1.0283,                 1.2678,               0.003631,               0.003631,               0.003631
                    195,                 1.9194,                 1.2092,                 1.3111,                0.83344,                0.63517,                0.74468,                0.42621,                 1.8875,                 1.0285,                 1.2679,               0.003598,               0.003598,               0.003598
                    196,                 1.8965,                 1.1909,                 1.2987,                0.83195,                0.63695,                0.74475,                0.42631,                 1.8863,                  1.028,                 1.2677,               0.003565,               0.003565,               0.003565
                    197,                 1.9048,                  1.209,                 1.3051,                0.83245,                0.63597,                0.74481,                0.42638,                 1.8865,                  1.028,                 1.2677,               0.003532,               0.003532,               0.003532
                    198,                 1.9079,                 1.2077,                 1.3056,                0.82905,                0.63895,                0.74475,                0.42611,                 1.8868,                 1.0274,                 1.2679,               0.003499,               0.003499,               0.003499
                    199,                 1.8959,                 1.1992,                 1.3046,                0.83176,                0.63691,                0.74502,                0.42687,                 1.8872,                 1.0273,                 1.2677,               0.003466,               0.003466,               0.003466
                    200,                 1.8976,                 1.1958,                 1.3053,                0.82678,                0.64016,                0.74481,                0.42693,                 1.8874,                 1.0269,                 1.2676,               0.003433,               0.003433,               0.003433
                    201,                 1.8965,                 1.1956,                 1.3017,                0.83148,                0.63692,                0.74517,                0.42697,                 1.8872,                 1.0262,                 1.2677,                 0.0034,                 0.0034,                 0.0034
                    202,                  1.899,                 1.1937,                 1.3039,                0.83192,                0.63674,                0.74509,                0.42698,                  1.888,                 1.0261,                 1.2681,               0.003367,               0.003367,               0.003367
                    203,                 1.8825,                 1.1824,                 1.2958,                0.83153,                0.63723,                0.74503,                0.42729,                 1.8874,                 1.0251,                 1.2676,               0.003334,               0.003334,               0.003334
                    204,                 1.8942,                 1.1936,                 1.2995,                 0.8314,                0.63694,                 0.7448,                0.42736,                 1.8874,                 1.0247,                 1.2675,               0.003301,               0.003301,               0.003301
                    205,                 1.8913,                  1.188,                  1.296,                0.82924,                0.64017,                 0.7458,                0.42747,                  1.887,                 1.0245,                 1.2675,               0.003268,               0.003268,               0.003268
                    206,                 1.9028,                 1.1963,                 1.3008,                0.83323,                0.63982,                0.74611,                0.42762,                 1.8868,                  1.024,                 1.2675,               0.003235,               0.003235,               0.003235
                    207,                 1.8914,                 1.1806,                 1.3007,                0.83079,                0.63993,                 0.7458,                0.42758,                 1.8874,                 1.0238,                 1.2678,               0.003202,               0.003202,               0.003202
                    208,                  1.886,                 1.1767,                  1.294,                0.83234,                0.63869,                0.74678,                0.42792,                 1.8877,                 1.0235,                 1.2679,               0.003169,               0.003169,               0.003169
                    209,                 1.8714,                 1.1748,                 1.2916,                0.83251,                0.63918,                0.74694,                0.42779,                 1.8877,                  1.023,                 1.2678,               0.003136,               0.003136,               0.003136
                    210,                    1.9,                 1.1939,                 1.3038,                0.83661,                0.63764,                0.74665,                0.42785,                 1.8878,                 1.0225,                 1.2674,               0.003103,               0.003103,               0.003103
                    211,                 1.8932,                 1.1864,                  1.295,                0.82881,                 0.6419,                0.74611,                 0.4274,                 1.8878,                 1.0224,                 1.2672,                0.00307,                0.00307,                0.00307
                    212,                 1.8853,                 1.1793,                 1.2946,                0.82959,                0.64186,                 0.7471,                 0.4273,                  1.888,                 1.0223,                 1.2673,               0.003037,               0.003037,               0.003037
                    213,                 1.8836,                 1.1767,                  1.293,                0.83043,                 0.6416,                0.74694,                0.42757,                 1.8894,                 1.0222,                 1.2676,               0.003004,               0.003004,               0.003004
                    214,                 1.8791,                 1.1756,                  1.294,                0.83413,                  0.641,                0.74659,                 0.4275,                 1.8909,                 1.0229,                 1.2677,               0.002971,               0.002971,               0.002971
                    215,                 1.8772,                 1.1739,                  1.291,                0.83196,                0.64157,                0.74668,                0.42706,                 1.8907,                 1.0223,                 1.2677,               0.002938,               0.002938,               0.002938
                    216,                 1.8824,                 1.1847,                 1.2973,                0.83311,                0.64127,                0.74701,                0.42761,                 1.8917,                 1.0232,                 1.2681,               0.002905,               0.002905,               0.002905
                    217,                 1.8836,                 1.1768,                 1.2964,                 0.8359,                0.63979,                0.74738,                0.42737,                  1.892,                  1.023,                 1.2683,               0.002872,               0.002872,               0.002872
                    218,                 1.8877,                 1.1856,                 1.2989,                0.84261,                0.63816,                0.74849,                0.42769,                 1.8923,                 1.0228,                 1.2682,               0.002839,               0.002839,               0.002839
                    219,                 1.8753,                 1.1758,                 1.2939,                0.83622,                0.64084,                0.74831,                0.42778,                 1.8932,                 1.0227,                 1.2683,               0.002806,               0.002806,               0.002806
                    220,                 1.8736,                 1.1715,                 1.2885,                0.83393,                0.64344,                0.74817,                0.42729,                 1.8928,                 1.0223,                 1.2681,               0.002773,               0.002773,               0.002773
                    221,                 1.8762,                 1.1757,                 1.2925,                0.83519,                0.64372,                0.74867,                0.42774,                 1.8927,                 1.0218,                 1.2678,                0.00274,                0.00274,                0.00274
                    222,                 1.8723,                 1.1671,                 1.2895,                0.83524,                0.64331,                0.74855,                0.42759,                  1.891,                 1.0211,                 1.2671,               0.002707,               0.002707,               0.002707
                    223,                 1.8808,                 1.1676,                 1.2923,                 0.8351,                0.64369,                0.74878,                0.42776,                 1.8902,                 1.0205,                 1.2666,               0.002674,               0.002674,               0.002674
                    224,                 1.8736,                 1.1716,                 1.2912,                0.83724,                0.64246,                0.74863,                0.42775,                 1.8899,                 1.0202,                 1.2664,               0.002641,               0.002641,               0.002641
                    225,                 1.8669,                 1.1659,                 1.2887,                0.83517,                0.64309,                0.74854,                0.42781,                 1.8895,                 1.0197,                 1.2661,               0.002608,               0.002608,               0.002608
                    226,                 1.8776,                 1.1764,                 1.2885,                0.83814,                0.64186,                0.74943,                0.42774,                 1.8886,                 1.0192,                 1.2655,               0.002575,               0.002575,               0.002575
                    227,                 1.8627,                 1.1666,                 1.2886,                0.83797,                0.64241,                0.74944,                0.42811,                 1.8877,                 1.0184,                 1.2653,               0.002542,               0.002542,               0.002542
                    228,                 1.8687,                 1.1616,                 1.2888,                0.83576,                0.64356,                0.74979,                0.42844,                  1.887,                 1.0176,                 1.2647,               0.002509,               0.002509,               0.002509
                    229,                 1.8755,                 1.1692,                 1.2891,                0.83661,                0.64361,                0.74946,                0.42829,                 1.8864,                 1.0169,                 1.2642,               0.002476,               0.002476,               0.002476
                    230,                 1.8711,                 1.1658,                 1.2863,                0.83406,                0.64298,                0.74927,                0.42873,                 1.8869,                  1.017,                 1.2642,               0.002443,               0.002443,               0.002443
                    231,                 1.8691,                 1.1643,                 1.2847,                0.83544,                0.64305,                0.74991,                0.42886,                 1.8866,                 1.0163,                 1.2641,                0.00241,                0.00241,                0.00241
                    232,                 1.8748,                 1.1685,                 1.2898,                0.83712,                0.64264,                0.75032,                0.42864,                 1.8876,                 1.0162,                 1.2643,               0.002377,               0.002377,               0.002377
                    233,                 1.8675,                 1.1662,                 1.2853,                0.83359,                0.64551,                 0.7504,                0.42868,                  1.886,                 1.0152,                 1.2636,               0.002344,               0.002344,               0.002344
                    234,                 1.8675,                 1.1644,                 1.2853,                0.83549,                0.64386,                0.75086,                0.42911,                 1.8854,                 1.0146,                 1.2636,               0.002311,               0.002311,               0.002311
                    235,                 1.8586,                  1.166,                 1.2887,                0.83235,                0.64797,                0.75185,                0.42922,                 1.8857,                 1.0142,                 1.2635,               0.002278,               0.002278,               0.002278
                    236,                 1.8598,                 1.1615,                 1.2882,                0.83213,                 0.6464,                0.75111,                0.42882,                 1.8861,                 1.0144,                 1.2633,               0.002245,               0.002245,               0.002245
                    237,                  1.853,                 1.1583,                 1.2857,                0.83322,                0.64717,                0.75159,                0.42879,                 1.8866,                 1.0142,                 1.2634,               0.002212,               0.002212,               0.002212
                    238,                 1.8614,                 1.1484,                 1.2796,                0.83385,                0.64597,                0.75191,                0.42843,                  1.887,                 1.0143,                 1.2636,               0.002179,               0.002179,               0.002179
                    239,                 1.8588,                  1.152,                 1.2833,                 0.8332,                0.64595,                0.75141,                0.42808,                 1.8875,                 1.0141,                 1.2634,               0.002146,               0.002146,               0.002146
                    240,                 1.8506,                 1.1497,                 1.2757,                0.83043,                0.64788,                0.75145,                0.42791,                 1.8866,                 1.0134,                 1.2632,               0.002113,               0.002113,               0.002113
                    241,                 1.8657,                 1.1603,                 1.2856,                0.83174,                0.64723,                0.75181,                0.42827,                 1.8863,                 1.0126,                 1.2631,                0.00208,                0.00208,                0.00208
                    242,                 1.8668,                 1.1609,                 1.2876,                0.83042,                0.64739,                0.75152,                0.42869,                 1.8852,                 1.0119,                 1.2627,               0.002047,               0.002047,               0.002047
                    243,                 1.8532,                 1.1588,                  1.283,                0.83088,                 0.6478,                0.75194,                0.42952,                 1.8832,                 1.0108,                  1.262,               0.002014,               0.002014,               0.002014
                    244,                 1.8526,                 1.1494,                 1.2813,                0.83183,                0.64852,                 0.7524,                0.42967,                 1.8819,                 1.0102,                 1.2615,               0.001981,               0.001981,               0.001981
                    245,                 1.8536,                 1.1457,                 1.2834,                0.83309,                0.64711,                0.75242,                0.42977,                 1.8818,                   1.01,                 1.2613,               0.001948,               0.001948,               0.001948
                    246,                  1.859,                 1.1532,                 1.2841,                 0.8374,                0.64506,                0.75225,                0.42947,                 1.8825,                 1.0099,                 1.2615,               0.001915,               0.001915,               0.001915
                    247,                 1.8346,                 1.1399,                 1.2793,                 0.8383,                0.64637,                 0.7524,                0.42955,                 1.8816,                 1.0093,                 1.2612,               0.001882,               0.001882,               0.001882
                    248,                 1.8512,                 1.1508,                 1.2798,                0.83971,                 0.6465,                0.75298,                0.42917,                 1.8816,                 1.0093,                 1.2613,               0.001849,               0.001849,               0.001849
                    249,                 1.8563,                 1.1454,                 1.2763,                0.83709,                0.64745,                0.75277,                0.42936,                 1.8799,                 1.0083,                 1.2608,               0.001816,               0.001816,               0.001816
                    250,                 1.8451,                 1.1432,                 1.2772,                0.84199,                0.64651,                0.75323,                0.42949,                  1.881,                 1.0083,                  1.261,               0.001783,               0.001783,               0.001783
                    251,                 1.8594,                 1.1485,                 1.2839,                0.83851,                0.64764,                0.75303,                0.42953,                 1.8816,                 1.0082,                 1.2612,                0.00175,                0.00175,                0.00175
                    252,                  1.853,                 1.1544,                 1.2845,                0.84496,                0.64583,                0.75366,                0.42975,                 1.8816,                 1.0081,                  1.261,               0.001717,               0.001717,               0.001717
                    253,                 1.8472,                 1.1445,                 1.2805,                0.84272,                0.64563,                0.75355,                0.43019,                 1.8809,                 1.0072,                 1.2609,               0.001684,               0.001684,               0.001684
                    254,                 1.8422,                 1.1412,                 1.2783,                0.84667,                0.64432,                0.75376,                0.43036,                 1.8804,                 1.0071,                 1.2604,               0.001651,               0.001651,               0.001651
                    255,                 1.8388,                 1.1406,                 1.2741,                0.84559,                0.64419,                 0.7538,                0.43067,                 1.8789,                 1.0066,                   1.26,               0.001618,               0.001618,               0.001618
                    256,                 1.8498,                 1.1477,                 1.2824,                0.84601,                0.64437,                0.75394,                0.43046,                 1.8794,                 1.0067,                 1.2599,               0.001585,               0.001585,               0.001585
                    257,                 1.8481,                 1.1466,                 1.2808,                0.84492,                0.64632,                0.75449,                0.43021,                 1.8799,                 1.0062,                   1.26,               0.001552,               0.001552,               0.001552
                    258,                 1.8481,                 1.1444,                 1.2776,                0.83543,                0.65082,                0.75445,                 0.4303,                 1.8804,                 1.0064,                 1.2602,               0.001519,               0.001519,               0.001519
                    259,                 1.8437,                 1.1441,                 1.2801,                0.83599,                 0.6504,                0.75435,                0.43034,                 1.8805,                 1.0062,                 1.2601,               0.001486,               0.001486,               0.001486
                    260,                 1.8526,                 1.1477,                 1.2786,                0.83638,                0.65039,                0.75502,                0.43031,                 1.8819,                 1.0064,                 1.2606,               0.001453,               0.001453,               0.001453
                    261,                 1.8343,                 1.1377,                 1.2749,                0.83988,                0.64827,                0.75514,                0.43014,                 1.8816,                 1.0063,                 1.2605,                0.00142,                0.00142,                0.00142
                    262,                 1.8433,                 1.1476,                 1.2786,                0.83599,                0.65002,                0.75506,                0.42998,                 1.8828,                 1.0068,                  1.261,               0.001387,               0.001387,               0.001387
                    263,                 1.8316,                 1.1382,                 1.2737,                0.83838,                0.64793,                0.75499,                0.43027,                 1.8824,                 1.0066,                  1.261,               0.001354,               0.001354,               0.001354
                    264,                 1.8395,                 1.1357,                  1.274,                0.83416,                0.65026,                0.75491,                0.43032,                 1.8825,                 1.0063,                 1.2609,               0.001321,               0.001321,               0.001321
                    265,                 1.8439,                 1.1457,                  1.282,                 0.8408,                0.64704,                0.75535,                0.43029,                 1.8836,                 1.0064,                 1.2611,               0.001288,               0.001288,               0.001288
                    266,                 1.8348,                 1.1319,                 1.2734,                0.84363,                0.64627,                0.75519,                0.43037,                 1.8838,                 1.0061,                 1.2613,               0.001255,               0.001255,               0.001255
                    267,                 1.8397,                  1.137,                 1.2735,                0.83658,                0.64925,                0.75547,                0.43023,                 1.8847,                 1.0071,                 1.2617,               0.001222,               0.001222,               0.001222
                    268,                 1.8323,                 1.1303,                 1.2726,                0.84026,                0.64791,                0.75567,                0.43003,                  1.885,                 1.0074,                  1.262,               0.001189,               0.001189,               0.001189
                    269,                 1.8316,                 1.1332,                 1.2744,                0.83872,                0.64887,                0.75567,                0.43056,                 1.8851,                 1.0067,                 1.2619,               0.001156,               0.001156,               0.001156
                    270,                 1.8225,                 1.1314,                 1.2702,                0.84117,                0.64845,                0.75605,                 0.4307,                 1.8846,                 1.0067,                 1.2618,               0.001123,               0.001123,               0.001123
                    271,                 1.8326,                 1.1244,                 1.2678,                0.84436,                0.64596,                0.75597,                0.43034,                 1.8852,                 1.0067,                 1.2618,                0.00109,                0.00109,                0.00109
                    272,                 1.8275,                  1.125,                 1.2753,                0.84597,                0.64598,                0.75678,                0.43132,                 1.8849,                  1.006,                 1.2615,               0.001057,               0.001057,               0.001057
                    273,                 1.8393,                 1.1333,                 1.2774,                0.84257,                0.64675,                0.75634,                 0.4314,                 1.8849,                 1.0062,                 1.2614,               0.001024,               0.001024,               0.001024
                    274,                 1.8304,                  1.129,                 1.2689,                0.84292,                0.64823,                0.75735,                0.43167,                 1.8838,                 1.0055,                 1.2609,               0.000991,               0.000991,               0.000991
                    275,                 1.8281,                 1.1371,                 1.2715,                0.84151,                0.64795,                0.75715,                0.43145,                 1.8834,                 1.0056,                 1.2609,               0.000958,               0.000958,               0.000958
                    276,                 1.8313,                 1.1344,                 1.2701,                0.84154,                 0.6484,                0.75766,                0.43127,                 1.8839,                 1.0059,                 1.2611,               0.000925,               0.000925,               0.000925
                    277,                 1.8409,                 1.1418,                 1.2786,                0.83859,                0.64908,                0.75737,                 0.4314,                 1.8834,                 1.0063,                  1.261,               0.000892,               0.000892,               0.000892
                    278,                 1.8353,                 1.1374,                  1.272,                0.83935,                0.64959,                0.75724,                0.43128,                 1.8838,                 1.0058,                 1.2609,               0.000859,               0.000859,               0.000859
                    279,                 1.8196,                  1.128,                 1.2736,                0.83974,                0.64979,                0.75711,                0.43191,                 1.8846,                 1.0057,                 1.2608,               0.000826,               0.000826,               0.000826
                    280,                 1.8321,                 1.1308,                 1.2747,                0.84155,                 0.6478,                0.75733,                 0.4316,                 1.8845,                 1.0055,                 1.2606,               0.000793,               0.000793,               0.000793
                    281,                 1.8211,                 1.1307,                 1.2724,                0.84226,                0.64861,                0.75697,                0.43191,                 1.8836,                 1.0049,                   1.26,                0.00076,                0.00076,                0.00076
                    282,                 1.8176,                 1.1242,                 1.2737,                0.84155,                0.64889,                 0.7572,                0.43217,                 1.8848,                 1.0059,                 1.2604,               0.000727,               0.000727,               0.000727
                    283,                 1.8219,                 1.1216,                 1.2687,                0.84319,                0.64952,                0.75833,                0.43217,                 1.8842,                 1.0049,                 1.2599,               0.000694,               0.000694,               0.000694
                    284,                  1.821,                 1.1252,                 1.2701,                0.84308,                0.64912,                0.75761,                0.43219,                 1.8848,                 1.0049,                 1.2601,               0.000661,               0.000661,               0.000661
                    285,                 1.8211,                 1.1216,                 1.2702,                0.84258,                0.64806,                0.75728,                 0.4323,                 1.8859,                 1.0053,                 1.2604,               0.000628,               0.000628,               0.000628
                    286,                 1.8124,                 1.1233,                 1.2697,                0.83911,                 0.6502,                0.75716,                0.43178,                 1.8866,                 1.0064,                 1.2608,               0.000595,               0.000595,               0.000595
                    287,                 1.8281,                 1.1323,                 1.2753,                0.83868,                0.65048,                0.75648,                0.43136,                  1.888,                 1.0069,                 1.2611,               0.000562,               0.000562,               0.000562
                    288,                 1.8159,                 1.1289,                 1.2685,                0.83731,                0.65104,                0.75609,                0.43121,                   1.89,                 1.0078,                 1.2618,               0.000529,               0.000529,               0.000529
                    289,                  1.826,                 1.1209,                 1.2672,                0.83771,                0.65008,                0.75548,                0.43113,                 1.8909,                 1.0079,                  1.262,               0.000496,               0.000496,               0.000496
                    290,                 1.8174,                 1.1213,                 1.2682,                0.83824,                0.64826,                0.75585,                0.43077,                 1.8921,                 1.0086,                 1.2624,               0.000463,               0.000463,               0.000463
                    291,                 1.8545,                 1.0649,                 1.3037,                0.83714,                0.64861,                0.75599,                0.43062,                 1.8922,                 1.0084,                 1.2622,                0.00043,                0.00043,                0.00043
                    292,                 1.8224,                 1.0291,                 1.2908,                0.83678,                 0.6483,                0.75599,                0.43161,                 1.8907,                 1.0075,                 1.2614,               0.000397,               0.000397,               0.000397
                    293,                 1.8263,                 1.0293,                 1.2914,                0.84004,                0.64816,                0.75691,                0.43156,                 1.8905,                 1.0069,                 1.2612,               0.000364,               0.000364,               0.000364
                    294,                 1.8151,                 1.0223,                  1.286,                0.83795,                  0.648,                0.75706,                0.43185,                 1.8886,                 1.0057,                 1.2604,               0.000331,               0.000331,               0.000331
                    295,                 1.8034,                 1.0123,                 1.2833,                0.83891,                0.64818,                0.75775,                0.43236,                 1.8873,                 1.0044,                 1.2596,               0.000298,               0.000298,               0.000298
                    296,                  1.811,                  1.014,                 1.2882,                0.83911,                0.64856,                0.75798,                0.43242,                 1.8866,                 1.0039,                  1.259,               0.000265,               0.000265,               0.000265
                    297,                 1.8065,                 1.0131,                 1.2867,                0.84156,                0.64851,                 0.7579,                0.43255,                 1.8862,                 1.0036,                 1.2588,               0.000232,               0.000232,               0.000232
                    298,                 1.7988,                 1.0045,                 1.2812,                0.84188,                0.64778,                0.75821,                0.43286,                 1.8857,                 1.0031,                 1.2583,               0.000199,               0.000199,               0.000199
                    299,                 1.8032,                 1.0121,                  1.289,                0.84422,                0.64603,                0.75786,                 0.4325,                 1.8854,                 1.0031,                  1.258,               0.000166,               0.000166,               0.000166
                    300,                 1.7982,                 1.0037,                 1.2804,                0.84538,                0.64631,                0.75823,                0.43282,                 1.8844,                 1.0027,                 1.2576,               0.000133,               0.000133,               0.000133
